casa,house
perro,dog
gato,cat
comida,food
agua,water
familia,family
amigo,friend
escuela,school
trabajo,work
libro,book
lápiz,pencil
mesa,table
silla,chair
ventana,window
puerta,door
coche,car
bicicleta,bicycle
avión,airplane
tren,train
teléfono,phone
computadora,computer
cama,bed
ropa,clothes
zapatos,shoes
dinero,money
sol,sun
luna,moon
estrella,star
árbol,tree
flor,flower
montaña,mountain
playa,beach
río,river
lago,lake
ciudad,city
pueblo,town
país,country
mapa,map
reloj,clock
tiempo,time
día,day
noche,night
mañana,morning
tarde,afternoon
semana,week
mes,month
año,year
vida,life
muerte,death
cielo,sky
tierra,earth
fuego,fire
aire,air
agua,water
nieve,snow
lluvia,rain
viento,wind
calor,heat
frío,cold
luz,light
sombra,shadow
amigo,friend
enemigo,enemy
alegría,joy
tristeza,sadness
amor,love
odio,hate
paz,peace
guerra,war
felicidad,happiness
miedo,fear
risa,laugh
llanto,cry
canción,song
música,music
película,movie
juego,game
deporte,sport
arte,art
color,color
blanco,white
negro,black
rojo,red
azul,blue
verde,green
amarillo,yellow
grande,big
pequeño,small
alto,tall
bajo,short
rápido,fast
lento,slow
fácil,easy
difícil,difficult
nuevo,new
viejo,old
caliente,hot
frío,cold
dulce,sweet
salado,salty
