libro,book
silla,chair
manzana,apple
cielo,sky
árbol,tree
ventana,window
agua,water
montaña,mountain
coche,car
sol,sun
casa,house
carretera,road
puerta,door
escritorio,desk
noche,night
lluvia,rain
flor,flower
teléfono,phone
perro,dog
gato,cat
calle,street
ventana,window
reloj,clock
sombrero,hat
océano,ocean
mapa,map
puente,bridge
río,river
bosque,forest
nube,cloud
lluvia,rain
arena,sand
isla,island
fuego,fire
barco,ship
bicicleta,bicycle
bosque,forest
mar,sea
taza,cup
plato,plate
pan,bread
leche,milk
cuchillo,knife
tenedor,fork
cuchara,spoon
vaso,glass
caja,box
botella,bottle
librería,bookstore
biblioteca,library
cine,cinema
escuela,school
maestro,teacher
estudiante,student
aula,classroom
tarea,homework
examen,exam
lección,lesson
música,music
canción,song
banda,band
concierto,concert
cantante,singer
guitarra,guitar
piano,piano
tambor,drum
película,movie
actor,actor
director,director
pantalla,screen
guión,script
escenario,stage
boleto,ticket
teatro,theater
primo,cousin
sobrino,nephew
tía,aunt
tío,uncle
hermana,sister
hermano,brother
madre,mother
padre,father
abuela,grandmother
abuelo,grandfather
amigo,friend
vecino,neighbor
doctor,doctor
enfermera,nurse
paciente,patient
hospital,hospital
farmacia,pharmacy
policía,police
bombero,firefighter
cocinero,chef
camarero,waiter
tienda,shop
mercado,market
banco,bank
oficina,office
trabajo,job
