casa,house
perro,dog
gato,cat
comida,food
agua,water
familia,family
amigo,friend
escuela,school
trabajo,work
libro,book
lapiz,pencil
mesa,table
silla,chair
ventana,window
puerta,door
coche,car
bicicleta,bicycle
avion,airplane
tren,train
telefono,phone
computadora,computer
cama,bed
ropa,clothes
zapatos,shoes
dinero,money
sol,sun
luna,moon
estrella,star
arbol,tree
flor,flower
montana,mountain
playa,beach
rio,river
lago,lake
ciudad,city
pueblo,town
pais,country
mapa,map
reloj,clock
tiempo,time
dia,day
noche,night
manana,morning
tarde,afternoon
semana,week
mes,month
ano,year
vida,life
muerte,death
cielo,sky
tierra,earth
fuego,fire
aire,air
agua,water
nieve,snow
lluvia,rain
viento,wind
calor,heat
frio,cold
luz,light
sombra,shadow
amigo,friend
enemigo,enemy
alegria,joy
tristeza,sadness
amor,love
odio,hate
paz,peace
guerra,war
felicidad,happiness
miedo,fear
risa,laugh
llanto,cry
cancion,song
musica,music
pelicula,movie
juego,game
deporte,sport
arte,art
color,color
blanco,white
negro,black
rojo,red
azul,blue
verde,green
amarillo,yellow
grande,big
pequeno,small
alto,tall
bajo,short
rapido,fast
lento,slow
facil,easy
dificil,difficult
nuevo,new
viejo,old
caliente,hot
frio,cold
dulce,sweet
salado,salty
